Date/Time,Mean Min Temp (°C) (SAS),Total Rain (mm) (SAS),Mean Min Temp (°C) (ALB),Total Rain (mm) (ALB)
1985-01,-11.8,0.4,-10.4,0.4
1985-02,-13.8,0.3,-12.4,0.3
1985-03,-5.6,0,1.2,0
1985-04,1.2,14.4,9.6,14.4
1985-05,5.4,22.1,18.7,22.1
1985-06,6.6,3.2,18.4,3.2
1985-07,11.5,6.6,24.4,6.6
1985-08,9.4,88.4,21.3,88.4
1985-09,3.2,110.4,13.4,110.4
1985-10,0.2,5.4,8.5,5.4
1985-11,-17.6,0,-11.6,0
1985-12,-7.5,0.7,-8.3,0.7
1986-01,-4.1,0,-6,0
1986-02,-15.1,0,-9.7,0
1986-03,-1.2,2.9,2,2.9
1986-04,-0.4,3.2,8.3,3.2
1986-05,5.6,57.1,18.7,57.1
1986-06,10.4,39.5,22.7,39.5
1986-07,9,12.6,22.6,12.6
1986-08,9.3,12.7,23.6,12.7
1986-09,3.6,94.9,13.9,94.9
1986-10,0.8,17.2,11.6,17.2
1986-11,-10.4,6.8,-5.7,6.8
1986-12,-6.5,0,-4.7,0
1987-01,-7,0,-5.8,0
1987-02,-7,0,-4.1,0
1987-03,-5.8,0.5,-1,0.5
1987-04,1.5,10.5,13.6,10.5
1987-05,4.8,20.3,20.2,20.3
1987-06,10.1,63.8,24.5,63.8
1987-07,10.7,103.4,22.9,103.4
1987-08,8,55.1,19.7,55.1
1987-09,6,35.3,20.3,35.3
1987-10,0.7,3.4,8.7,3.4
1987-11,-2.8,0,3,0
1987-12,-8.4,1,-5.7,1
1988-01,-12.8,0,-14,0
1988-02,-10.3,0,-8.3,0
1988-03,-3.5,1.5,-0.9,1.5
1988-04,-0.6,0.3,10.6,0.3
1988-05,6.6,17.3,21.6,17.3
1988-06,11.5,45.9,26.7,45.9
1988-07,11,13.4,25.2,13.4
1988-08,9.7,51,21.8,51
1988-09,5.1,30.6,17.2,30.6
1988-10,1,6.2,10.1,6.2
1988-11,-5.2,0,-2,0
1988-12,-11.3,0.6,-7.3,0.6
1989-01,-12,0,-8.7,0
1989-02,-18.7,0,-10.5,0
1989-03,-11.1,1.5,-5.7,1.5
1989-04,-1.1,15.1,10.5,15.1
1989-05,3.3,34.3,17.8,34.3
1989-06,9.5,77.1,22.9,77.1
1989-07,11.4,46,26.8,46
1989-08,10.7,91.4,23.9,91.4
1989-09,5.7,33.5,17,33.5
1989-10,0.1,9,10.4,9
1989-11,-4.2,5.8,-3.6,5.8
1989-12,-9.1,4.8,-12.3,4.8
1990-01,-7.8,0.2,-9.6,0.2
1990-02,-11.7,0,-10.6,0
1990-03,-4.4,0.2,1.5,0.2
1990-04,-0.6,15,8.6,15
1990-05,3.6,61.9,17.6,61.9
1990-06,8.6,41.7,23.2,41.7
1990-07,10.7,41.3,23.1,41.3
1990-08,11.8,16.2,23.7,16.2
1990-09,6.7,5.2,19.5,5.2
1990-10,-0.6,3.2,7.3,3.2
1990-11,-6.7,0.2,-4.5,0.2
1990-12,-16.2,0.2,-15,0.2
1991-01,-13.2,0,-12.8,0
1991-02,-3.5,6.8,-4.1,6.8
1991-03,-7.8,0.6,-2.3,0.6
1991-04,-0.1,19.4,10.9,19.4
1991-05,4.6,57,18,57
1991-06,9,119.1,21.8,119.1
1991-07,10.7,19.6,24.9,19.6
1991-08,11.8,56.1,27.3,56.1
1991-09,5,24.6,17.5,24.6
1991-10,-2.8,6.2,4.5,6.2
1991-11,-7.2,0.8,-5.2,0.8
1991-12,-6.7,0,-8.2,0
1992-01,-5.4,0.6,-7.1,0.6
1992-02,-7.4,0,-5.7,0
1992-03,-4.3,0.4,3.6,0.4
1992-04,0.8,10.8,9.8,10.8
1992-05,4.7,8.3,16.5,8.3
1992-06,10.7,105,21.1,105
1992-07,9.8,115,22.1,115
1992-08,8.7,21.4,22,21.4
