Date,Barley Price (SAS),Barley Price (ALB)
1985-01,121.38,127.39
1985-02,119.64,127.36
1985-03,122.7,130.29
1985-04,125.48,127.39
1985-05,118.85,125.62
1985-06,119.23,121.36
1985-07,114.3,120.22
1985-08,104.69,115.68
1985-09,93.46,101.85
1985-10,87.7,97.83
1985-11,88.44,97.3
1985-12,88.45,97.65
1986-01,84.5,95.14
1986-02,84.71,90.49
1986-03,83.31,88.56
1986-04,78.72,84.56
1986-05,82.74,90.31
1986-06,88.32,95.68
1986-07,87.62,93.71
1986-08,79.83,73.96
1986-09,66.46,66.31
1986-10,67.32,66.53
1986-11,65.72,65.7
1986-12,65.84,64.77
1987-01,67.46,65.56
1987-02,64.79,63.79
1987-03,64.66,63.65
1987-04,64.86,65
1987-05,65.97,66.79
1987-06,64.65,67.92
1987-07,58.08,63.48
1987-08,53.93,61.74
1987-09,49.98,52.42
1987-10,49.1,52.08
1987-11,49.92,54.08
1987-12,50.88,50.96
1988-01,52.15,53.64
1988-02,52.11,54.67
1988-03,51.25,54.15
1988-04,53.5,56.03
1988-05,64.7,64.99
1988-06,81.75,82.96
1988-07,89.92,91.83
1988-08,95.99,101.72
1988-09,100.5,101.78
1988-10,102.62,103.2
1988-11,110.96,107.05
1988-12,115.04,110.39
1989-01,121.26,114.33
1989-02,122.29,116.01
1989-03,119.14,114.74
1989-04,115.29,115.09
1989-05,111.24,115.35
1989-06,107.22,106.82
1989-07,92.92,97.34
1989-08,89.01,95.08
1989-09,82.73,81.79
1989-10,84.79,84.36
1989-11,89.94,90.46
1989-12,91.91,94.35
1990-01,94.61,96.7
1990-02,94,97.38
1990-03,93.52,96.21
1990-04,92.3,97.2
1990-05,93.26,97.93
1990-06,93.16,97.85
1990-07,86.36,93.63
1990-08,82.55,92.88
1990-09,71.3,79.19
1990-10,69.8,75.29
1990-11,72.66,80.59
1990-12,73.43,82.44
1991-01,78.15,85.23
1991-02,77.13,83.78
1991-03,78.09,83.21
1991-04,77.51,81.64
1991-05,77.89,83.92
1991-06,78.41,82.14
1991-07,71.99,75.03
1991-08,64.47,66.45
1991-09,62.37,62.34
1991-10,63.17,64.94
1991-11,64.04,68.17
1991-12,66.49,70.8
1992-01,66.98,71.62
1992-02,69.53,72.02
1992-03,68.97,72.96
1992-04,69.42,74.98
1992-05,71.41,77.49
1992-06,73.03,79.6
1992-07,70.43,77.49
1992-08,68.79,79.04
1992-09,65.87,78.02
1992-10,68.03,76.79
1992-11,68.11,82.21
1992-12,72.55,81.36
1993-01,74.84,82.19
1993-02,74.94,82.81
1993-03,75.62,83.57
1993-04,74.2,83.18
1993-05,75.1,81.95
1993-06,73.72,80.17
1993-07,70.12,76.83
1993-08,66.78,74.68
1993-09,56.16,65.17
1993-10,52.26,64.33
1993-11,60.38,66.9
1993-12,65.6,72.25
1994-01,71.97,76.9
1994-02,73.02,80.25
1994-03,69.9,77.77
1994-04,66.99,75.05
1994-05,64.8,77.29
1994-06,65.26,75.59
1994-07,60.51,71.68
1994-08,66.33,75.11
1994-09,72.79,79.15
1994-10,80.06,88.07
1994-11,85.01,96.1
1994-12,88.44,101.17
1995-01,90.96,103.02
1995-02,92.6,104.27
1995-03,96.34,107.35
1995-04,97.4,110.38
1995-05,100.05,115.01
1995-06,110.28,119.66
1995-07,113.47,128.84
1995-08,104.13,127.45
1995-09,103.47,115.78
1995-10,112.52,125.62
1995-11,125.34,138.43
1995-12,132.08,149.43
1996-01,133.53,151.42
1996-02,135.23,150.73
1996-03,133.75,153.46
1996-04,144.4,156.75
1996-05,152.2,161.23
1996-06,159.28,171.57
1996-07,150.06,158.37
1996-08,124.46,127.38
1996-09,112.44,128.29
1996-10,107.4,124.2
1996-11,93.5,103.9
1996-12,99,117.21
1997-01,104.53,115.5
1997-02,102.35,113.39
1997-03,103.55,115.22
1997-04,104.61,116.75
1997-05,99.35,114.99
1997-06,93.8,112.93
1997-07,90.53,103.5
1997-08,95.7,106.65
1997-09,96.42,106.54
1997-10,110.11,112.4
1997-11,114.8,115.17
1997-12,110.62,116.98
1998-01,122.54,121.98
1998-02,106.65,116.47
1998-03,100.86,111.63
1998-04,103.27,110.39
1998-05,106.14,109.87
1998-06,101.5,108.47
1998-07,92.13,106.32
1998-08,83.09,93.73
1998-09,87.44,88.6
1998-10,92.05,97.75
1998-11,90.33,100.98
1998-12,93,99.16
1999-01,91.18,104.31
1999-02,87.7,96.96
1999-03,84.87,88.04
1999-04,87.5,85.57
1999-05,90.2,90.21
1999-06,88.9,85.94
1999-07,82.71,91.47
1999-08,81.25,85.87
1999-09,76.52,82.23
1999-10,81.65,84.41
1999-11,78.83,81.66
1999-12,76.9,80.78
2000-01,78.29,87.82
2000-02,76.48,81.36
2000-03,77.73,84.21
2000-04,78.22,84.77
2000-05,77.14,81.02
2000-06,77.08,80.84
2000-07,76.45,84.87
2000-08,75.28,88.69
2000-09,73,85.98
2000-10,80.01,93.25
2000-11,88.29,104.15
2000-12,91.01,110.34
2001-01,88.43,112.06
2001-02,88.23,105.41
2001-03,92.37,112.18
2001-04,94.41,111.05
2001-05,99.14,117.92
2001-06,100.6,119.22
2001-07,113.76,133.91
2001-08,115.46,129.55
2001-09,121.02,130.44
2001-10,124.63,133.99
2001-11,131.6,132.17
2001-12,131.49,139.14
2002-01,134.78,154.1
2002-02,133.16,141.43
2002-03,130.17,137.59
2002-04,127.82,127.47
2002-05,121.74,145.01
2002-06,127.02,144.4
2002-07,137.92,163.78
2002-08,150.66,171.14
2002-09,152.44,163.7
2002-10,155.03,168.1
2002-11,155.61,170.77
2002-12,153.16,162.89
2003-01,142.91,176.68
2003-02,144.16,160.78
2003-03,123.21,154.83
2003-04,132.52,152.49
2003-05,120.66,146.43
2003-06,109.49,135.66
2003-07,100.56,117.06
2003-08,91.57,112.65
2003-09,93.85,109.34
2003-10,93.31,107.39
2003-11,99.96,111.94
2003-12,98.33,114.56
2004-01,99.59,121.21
2004-02,97.43,113.34
2004-03,102.35,117.05
2004-04,115.47,125.29
2004-05,117.61,129.38
2004-06,118.01,131.42
2004-07,107.18,124.02
2004-08,93.8,109.15
2004-09,77.19,100.24
2004-10,75.1,93.75
2004-11,76.5,98.97
2004-12,76.4,95.68
2005-01,75.52,93.67
2005-02,72.27,91.33
2005-03,72.29,91.39
2005-04,73.99,92.53
2005-05,71.35,94.18
